Barrier,BI/X_ Atom Number,BI/X_Mendeleev Number,BI/X_Melting T,BI/X_Covalent Radius,BII/X_Atom Number,BII/X_Mendeleev Number,BII/X_Electronegativity,BII/X_N Valence
1.17,1.648720873,1.180025255,1.921145921,0.938107621,0.808483448,0.368103528,-0.766704008,0.823556128
0.818,1.648720873,1.180025255,1.921145921,0.938107621,0.933428803,1.33635165,-0.577106404,1.427632554
0.718,1.648720873,1.180025255,1.921145921,0.938107621,1.765569812,1.527042353,0.088654973,1.427632554
1.339,1.648720873,1.180025255,1.921145921,0.938107621,1.729059097,0.981487616,0.266701141,1.131594787
1.189,1.648720873,1.180025255,1.921145921,0.938107621,1.69168552,0.510230662,0.088654973,0.823556128
1.342,1.648720873,1.180025255,1.921145921,0.938107621,1.490404855,-1.917522509,-2.308784544,-0.958727092
0.441,0.827420492,1.171112243,1.028432554,-0.745575881,-0.191169187,0.71883027,0.459571563,1.131594787
0.515,0.827420492,1.171112243,1.028432554,-0.745575881,-0.383327955,-0.400729389,-0.158299429,0.165521027
0.426,0.827420492,1.171112243,1.028432554,-0.745575881,-0.252994937,0.288191955,0.321587871,0.823556128
0.484,0.827420492,1.171112243,1.028432554,-0.745575881,-0.31699823,-0.082572711,-0.478125823,0.502101349
0.703,0.827420492,1.171112243,1.028432554,-0.745575881,0.544963605,-0.300105466,1.207635462,0.165521027
0.368,0.827420492,1.171112243,1.028432554,-0.745575881,-0.131385672,1.21742232,0.541698088,1.427632554
0.474,0.827420492,1.171112243,1.028432554,-0.745575881,0.698166068,1.400243179,1.311264979,1.427632554
0.722,0.827420492,1.171112243,1.028432554,-0.745575881,0.661131732,0.877053375,1.516229814,1.131594787
0.673,0.827420492,1.171112243,1.028432554,-0.745575881,0.623276833,0.424703836,1.311264979,0.823556128
1.038,0.827420492,1.171112243,1.028432554,-0.745575881,-0.598009844,-1.928658472,-1.049131224,-0.958727092
0.554,0.827420492,1.171112243,1.028432554,-0.745575881,-0.452148453,-0.672796056,-0.244776349,-0.188280752
1.495,0.827420492,1.171112243,1.028432554,-0.745575881,0.42039119,-1.918841935,-1.486077164,-0.958727092
0.292,-0.124405969,1.162255901,0.577905202,-1.429377501,-1.317808209,0.625959353,0.803994066,-0.676050271
0.388,-0.124405969,1.162255901,0.577905202,-1.429377501,-1.486346652,-0.450616108,0.160213442,-1.179615043
0.344,-0.124405969,1.162255901,0.577905202,-1.429377501,-1.42853773,-0.144344786,-0.173451347,-1.007122595
0.331,-0.124405969,1.162255901,0.577905202,-1.429377501,-1.26471959,1.104555541,0.889485704,-0.516831588
0.429,-0.124405969,1.162255901,0.577905202,-1.429377501,-0.498816503,1.279942814,1.689735087,-0.516831588
0.746,-0.124405969,1.162255901,0.577905202,-1.429377501,-1.670712492,-1.929749515,-0.769929805,-1.729695637
0.407,-0.124405969,1.162255901,0.577905202,-1.429377501,-1.545908733,-0.712791718,0.070024288,-1.357240364
1.148,-0.124405969,1.162255901,0.577905202,-1.429377501,-0.761025079,-1.920121686,-1.227066505,-1.729695637
1.31,1.70040756,1.295283277,1.129957253,0.892868411,0.872115003,0.816601711,-0.647892026,1.131594787
1.452,1.70040756,1.295283277,1.129957253,0.892868411,0.808483448,0.368103528,-0.766704008,0.823556128
1.473,1.70040756,1.295283277,1.129957253,0.892868411,0.742363644,-0.017665722,-1.452317535,0.502101349
1.031,1.70040756,1.295283277,1.129957253,0.892868411,1.614190413,-0.243811215,-0.001250111,0.165521027
1.169,1.70040756,1.295283277,1.129957253,0.892868411,0.933428803,1.33635165,-0.577106404,1.427632554
0.946,1.70040756,1.295283277,1.129957253,0.892868411,1.765569812,1.527042353,0.088654973,1.427632554
1.493,1.70040756,1.295283277,1.129957253,0.892868411,1.729059097,0.981487616,0.266701141,1.131594787
1.169,1.70040756,1.295283277,1.129957253,0.892868411,0.527065584,-0.871287038,-1.477469841,-0.561919318
1.558,1.70040756,1.295283277,1.129957253,0.892868411,0.60187902,-0.63085865,-1.252798505,-0.188280752
0.925,0.882576029,1.286942851,-0.219243734,-0.826867082,-0.383327955,-0.400729389,-0.158299429,0.165521027
0.761,0.882576029,1.286942851,-0.219243734,-0.826867082,-0.252994937,0.288191955,0.321587871,0.823556128
0.919,0.882576029,1.286942851,-0.219243734,-0.826867082,-0.31699823,-0.082572711,-0.478125823,0.502101349
1.073,0.882576029,1.286942851,-0.219243734,-0.826867082,0.544963605,-0.300105466,1.207635462,0.165521027
1.078,0.882576029,1.286942851,-0.219243734,-0.826867082,0.50442866,-0.586854793,-0.331810134,-0.188280752
0.618,0.882576029,1.286942851,-0.219243734,-0.826867082,-0.131385672,1.21742232,0.541698088,1.427632554
0.365,0.882576029,1.286942851,-0.219243734,-0.826867082,0.698166068,1.400243179,1.311264979,1.427632554
0.792,0.882576029,1.286942851,-0.219243734,-0.826867082,0.661131732,0.877053375,1.516229814,1.131594787
1.044,0.882576029,1.286942851,-0.219243734,-0.826867082,0.623276833,0.424703836,1.311264979,0.823556128
0.893,0.882576029,1.286942851,-0.219243734,-0.826867082,-0.523641689,-0.904605491,-0.507580617,-0.561919318
0.944,0.882576029,1.286942851,-0.219243734,-0.826867082,-0.452148453,-0.672796056,-0.244776349,-0.188280752
0.734,-0.070788318,1.278644984,-0.948688457,-1.52668242,-1.486346652,-0.450616108,0.160213442,-1.179615043
0.614,-0.070788318,1.278644984,-0.948688457,-1.52668242,-1.372387349,0.212214466,0.660315663,-0.839380404
0.796,-0.070788318,1.278644984,-0.948688457,-1.52668242,-1.42853773,-0.144344786,-0.173451347,-1.007122595
0.884,-0.070788318,1.278644984,-0.948688457,-1.52668242,-0.64410342,-0.35371713,1.582060978,-1.179615043
0.999,-0.070788318,1.278644984,-0.948688457,-1.52668242,-0.682270759,-0.629944374,-0.02076758,-1.357240364
0.437,-0.070788318,1.278644984,-0.948688457,-1.52668242,-1.26471959,1.104555541,0.889485704,-0.516831588
0.377,-0.070788318,1.278644984,-0.948688457,-1.52668242,-0.498816503,1.279942814,1.689735087,-0.516831588
0.569,-0.070788318,1.278644984,-0.948688457,-1.52668242,-0.534084704,0.777883787,1.902622568,-0.676050271
0.815,-0.070788318,1.278644984,-0.948688457,-1.52668242,-0.570038041,0.343413341,1.689735087,-0.839380404
0.751,-0.070788318,1.278644984,-0.948688457,-1.52668242,-1.670712492,-1.929749515,-0.769929805,-1.729695637
0.815,-0.070788318,1.278644984,-0.948688457,-1.52668242,-1.607326727,-0.93641698,-0.204195795,-1.540434136
0.88,-0.070788318,1.278644984,-0.948688457,-1.52668242,-1.545908733,-0.712791718,0.070024288,-1.357240364
